NodeID,Caption,IPAddress,Vendor,MachineType,HealthTier,CPULoad_Pct,PercentMemoryUsed_Pct,AvgResponseTime_ms,Status,StatusDescription,City,SystemUpTime_Sec,LastSync
1,IN-BLR-SWOS,172.18.151.142,Windows,Windows 2019 Server,High,2,10,1,1,Node status is Up.,BANGALORE,193715.0,2026-08-18T12:04:33.1930000
5,CFG-WLC-1,172.17.175.5,Cisco,WLC 5520,High,-2,0,0,1,Node status is Up.,Gr.Noida-T-AB,7601704.0,2026-08-18T12:04:47.2330000
6,IN-TZ1-SWPE,172.18.51.145,Windows,Windows 2019 Server,Medium,18,70,0,3,"Node status is Warning, C:\ Label: CA6544E2 Warning.",Gr.Noida-T-AB,193943.296875,2026-08-18T12:04:45.9170000
11,CFG-NJ-WLC1,172.26.20.15,Cisco,Cisco 3504 Wireless LAN Controller,High,-2,0,0,1,Node status is Up.,NEW JERSEY,8527990.0,2026-08-17T23:34:28.9570000
15,US-NJ-SWPE,172.26.1.215,Windows,Windows 2019 Server,High,6,59,219,1,Node status is Up.,NEW JERSEY,193070.671875,2026-08-18T12:04:45.9170000
16,TA-GF-DS,172.17.182.29,Cisco,Cisco Catalyst 29xxStack,High,44,23,2,1,Node status is Up.,Gr.Noida-T-AB,42085860.0,2026-08-18T12:04:47.2330000
17,CFG-BN-WLC-1,172.17.241.5,Cisco,WLC 5520,High,-2,0,0,1,Node status is Up.,BANGALORE,20211306.0,2026-08-18T12:04:38.6170000
19,TB-GF-DS,172.17.182.30,Cisco,Cisco Catalyst 29xxStack,High,36,22,7,1,Node status is Up.,Gr.Noida-T-AB,5764630.0,2026-08-18T12:04:47.2330000
20,TA-1F-DS,172.17.182.32,Cisco,Cisco Catalyst 29xxStack,High,37,22,1,1,Node status is Up.,Gr.Noida-T-AB,36286304.0,2026-08-18T12:04:47.2330000
21,TB-2F-DS,172.17.182.33,Cisco,Cisco Catalyst 29xxStack,High,37,22,2,1,Node status is Up.,Gr.Noida-T-AB,5760272.0,2026-08-18T12:04:47.2330000
23,TB-3F-DS,172.17.182.35,Cisco,Cisco Catalyst 29xxStack,High,40,23,8,1,Node status is Up.,Gr.Noida-T-AB,5753240.5,2026-08-18T12:04:47.2330000
24,TA-4F-DS,172.17.182.36,Cisco,Cisco Catalyst 29xxStack,High,38,22,2,1,Node status is Up.,Gr.Noida-T-AB,5757559.0,2026-08-18T12:04:47.2330000
